,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1541,17130001,Système U,4528607.8695023,-39297.323215008,17130,Avenue de la République,Montendre,R
1542,17130003,TotalEnergies,4528100.0,-39400.0,17130,RTE DE MONTLIEU,Montendre,R
1543,17130004,Intermarché,4529000.0,-41000.0,17130,Boulevard de Saintonge,Montendre,R
1544,17132001,Système U,4555900.0,-95400.0,17132,47 RUE DE L'EGLISE,MESCHERS-SUR-GIRONDE,R
1545,17137001,TotalEnergies,4619800.0,-115800.0,17137,44 Avenue de la Rochelle,NIEUL-SUR-MER,R
1546,17137002,Système U,4620265.0,-117434.0,17137,LE FIEF ARNAUD,Nieul-sur-Mer,R
1547,17138006,TotalEnergies Access,4617700.0,-110300.0,17138,AIRE DE SERVICE - RN 11,PUILBOREAU,R
1548,17138007,TotalEnergies Access,4617700.0,-110300.0,17138,RN. 11 / SENS NIORT - LA ROCHELL,PUILBOREAU,R
1549,17138008,Carrefour,4620600.0,-109500.0,17138,43 rue des sports,Saint-Xandre,R
1550,17138009,Carrefour,4620600.0,-109400.0,17138,43 RUE DES SPORTS,Saint-Xandre,R
1552,17139001,Système U,4618933.169,-106930.786,17139,RUE DE L'ADJUDANT GALLAND,DOMPIERRE-SUR-MER,R
1553,17140001,E.Leclerc,4617394.27831,-116766.879889,17140,Avenue du Fief Rose ,LAGORD,R
1554,17150001,Système U,4537800.0,-57000.0,17150,109 AVENUE DE LA REPUBLIQUE,Mirambeau,R
1555,17160001,Intermarché,4586900.0,-30500.0,17160,3 Allée de la Croix Becquet,Matha,R
1556,17160002,Système U,4587435.0,-31139.0,17160,RUE MAXIME BOURDEAU,Matha,R
1557,17160003,Casino,4586933.4256569,-32780.917245505,17160,139 RTE DE ST JEAN D'ANGELY,BLANZAC-LèS-MATHA,R
1558,17170003,Carrefour,4622656.32575,-87152.9785626,17170,AV DE LA JUILLERIE,Ferrières,R
1559,17200001,Système U,4562955.0,-103904.0,17200,Boulevard du Colonel Baillet,Royan,R
1560,17200003,TotalEnergies,4564756.29563,-102447.404804,17200,176 Avenue de Rochefort,ROYAN,R
1561,17200006,Intermarché,4566900.0,-101000.0,17200,ROUTE DE ROCHEFORT,SAINT-SULPICE-DE-ROYAN,R
1562,17200007,Avia,4561863.511531,-102752.29020716,17200,quai des sabliers,Royan,R
1563,17200008,TotalEnergies Access,4562357.0,-101317.0,17200,"1, AV DE LA LIBERATION",ROYAN,R
1564,17200009,TotalEnergies Access,4562472.81492,-101645.691284,17200,8 AVENUE MARYSE BASTIE,ROYAN,R
1565,17201001,E.Leclerc,4563200.0,-99200.0,17200,Rue Laurent-Antoine de Lavoisier,ROYAN,R
1566,17210001,Avia,4521900.0,-31100.0,17210,Lieu-dit Le Terrier de Chierzac,Bedenac,R
1568,17210005,Avia,4516900.0,-33500.0,17210,Aire de Bedenac Est - RN 10,Bedenac,R
1570,17220001,Intermarché,4612900.0,-100700.0,17220,6 rue des Ecoles,La Jarrie,R
1571,17220002,Intermarché,4608400.0,-107400.0,17220,LE PETIT BONNEVEAU,Salles-sur-Mer,R
1572,17220003,Système U,4615054.29,-107654.119,17220,1Bis Route de la Jarne,Saint-Rogatien,R
1573,17230002,Système U,4631131.13409,-99182.5951956,17230,1 RUE D'ALIGRE,MARANS,R
1574,17230004,Intermarché,4630300.0,-98500.0,17230,114 Avenue du Général de Gaulle,Marans,R
1575,17240001,TotalEnergies,4548900.0,-56600.0,17240,75 AVENUE de Saintes,SAINT-GENIS-DE-SAINTONGE,R
1576,17250002,Carrefour,4583000.0,-87700.0,17250,29 Rue Claire Pertus,PONT-L'ABBE-D'ARNOULT,R
1577,17250003,Intermarché,4581400.0,-77400.0,17250,Rue du gros chêne,Saint-Porchaire,R
1578,17260001,Système U,4557600.0,-67800.0,17260,ROUTE DE SAINTES,GEMOZAC,R
1579,17270001,Intermarché,4521213.97979,-17719.7722832,17270,Zone commerciale de clairvent,MONTGUYON,R
1580,17285001,Système U,4617364.60061,-111758.831845,17138,rue du 14 juillet,PUILBOREAU,R
1581,17290001,TotalEnergies,4611700.0,-93400.0,17290,37 BIS PLACE DE LA REPUBLIQUE,AIGREFEUILLE-D'AUNIS,R
1582,17290003,Intermarché,4611624.0,-93553.0,17290, Place de la Renaissance,AIGREFEUILLE-D'AUNIS,R
1583,17300003,E.Leclerc,4592900.0,-95800.0,17300,Impasse du 11 Novembre 1918,ROCHEFORT,R
1584,17300004,Intermarché,4595675.89967,-97777.6716334,17300,route de la rochelle,ROCHEFORT,R
1585,17300006,Esso,4594800.0,-97600.0,17300,1 Avenue d'Aunis,ROCHEFORT,R
1586,17310001,Système U,4593945.0,-130820.0,17310,1 Avenue du Général Leclerc,SAINT-PIERRE-D'OLERON,R
1587,17310003,TotalEnergies,4593500.0,-130000.0,17310,41 av du moulin blanc,SAINT-PIERRE-D'OLéRON,R
1588,17310004,E.Leclerc,4594300.0,-132100.0,17310,2 Route des Mirouelles,SAINT-PIERRE-D'OLéRON,R
1589,17320002,E.Leclerc,4582300.0,-110300.0,17320,Rue de la République,MARENNES,R
